age,annual_income,credit_score,employment_type,loan_amount,monthly_existing_emis,loan_purpose,loan_tenure_months,years_in_current_job,total_work_experience,existing_loan_count,residential_status,number_of_dependents,city_tier,education_level,marital_status,bank_account_vintage_months,risk_score,approval_status,dti_ratio,loan_to_income_ratio
46,636100,591,Salaried,749706,0,Medical,24,3.9,17.0,0,Owned,0,Metro,Graduate,Married,6,42.7,MANUAL_REVIEW,65.59,1.18
21,455549,623,Salaried,742807,11978,Personal,60,0.0,0.0,2,Company-Provided,2,Tier-1,Post-Graduate,Married,122,36.5,REJECTED,73.61,1.63
31,1159650,486,Salaried,9792373,0,Home,360,1.7,3.8,0,Owned,1,Tier-1,High-School,Married,76,26.76,REJECTED,92.69,8.44
23,1120222,639,Salaried,1831113,0,Medical,60,0.4,0.4,0,Company-Provided,0,Tier-3,Post-Graduate,Divorced,207,47.68,MANUAL_REVIEW,42.16,1.63
22,1063679,763,Salaried,6281234,30648,Business,84,0.1,0.1,3,Rented,1,Tier-2,Graduate,Single,74,48.72,MANUAL_REVIEW,154.05,5.91
46,531691,541,Salaried,2242170,13878,Business,120,6.9,22.1,1,Owned,2,Tier-2,Post-Graduate,Single,109,32.1,REJECTED,99.61,4.22
30,300000,817,Freelancer,505809,0,Medical,12,1.6,1.6,0,Owned,2,Tier-2,Graduate,Divorced,140,60.42,MANUAL_REVIEW,178.35,1.69
38,748227,722,Government,5445554,15220,Business,84,1.1,1.1,1,Rented,2,Tier-2,Graduate,Married,59,44.32,MANUAL_REVIEW,171.66,7.28
34,764487,682,Government,5980472,0,Home,180,7.6,7.6,0,Rented,1,Tier-2,Professional,Married,171,51.72,MANUAL_REVIEW,103.77,7.82
39,1591817,766,Salaried,2796167,40587,Personal,48,0.8,9.8,3,Rented,0,Tier-2,Graduate,Married,121,61.96,MANUAL_REVIEW,84.57,1.76
35,4776979,846,Freelancer,10000000,0,Business,180,6.3,7.9,0,Owned,1,Tier-3,High-School,Single,15,76.88,APPROVED,27.77,2.09
22,894398,717,Freelancer,6497903,28294,Home,240,0.5,0.5,2,Owned,0,Metro,Post-Graduate,Married,29,43.8,MANUAL_REVIEW,125.0,7.27
44,4632421,850,Salaried,10000000,0,Home,180,3.3,3.3,0,Rented,2,Tier-3,Graduate,Married,11,88.86,APPROVED,28.63,2.16
30,1230276,570,Self-Employed,9832707,23094,Home,180,0.2,0.2,1,Rented,3,Tier-2,Graduate,Single,111,21.44,REJECTED,128.54,7.99
21,499852,530,Salaried,4193478,16058,Home,300,0.0,0.0,3,Rented,1,Tier-1,Post-Graduate,Married,172,22.1,REJECTED,133.6,8.39
30,1018812,641,Freelancer,7816381,0,Home,360,5.3,8.5,0,Rented,0,Tier-3,Graduate,Single,12,33.5,REJECTED,84.22,7.67
50,3286543,635,Government,8982475,0,Business,60,12.1,15.4,0,Owned,1,Tier-3,Post-Graduate,Single,124,50.5,MANUAL_REVIEW,70.49,2.73
43,3200795,817,Government,10000000,30626,Business,180,8.8,8.8,1,Rented,4,Tier-1,Professional,Married,99,71.66,APPROVED,52.92,3.12
31,681757,627,Government,2314857,0,Home,180,4.1,4.1,0,Owned,1,Tier-3,High-School,Single,181,58.32,MANUAL_REVIEW,45.04,3.4
31,933989,690,Salaried,4296006,8114,Business,60,3.8,6.5,2,Company-Provided,2,Metro,Graduate,Married,224,44.5,MANUAL_REVIEW,129.06,4.6
31,300000,715,Self-Employed,721349,6203,Personal,12,3.8,3.8,1,Rented,0,Tier-1,Post-Graduate,Single,38,56.06,MANUAL_REVIEW,279.16,2.4
55,2084073,803,Salaried,10000000,61576,Home,360,3.6,27.1,1,Owned,2,Metro,Post-Graduate,Divorced,72,70.8,MANUAL_REVIEW,88.13,4.8
38,1733881,729,Freelancer,5221429,25191,Home,360,2.8,4.4,2,Rented,1,Metro,Graduate,Single,191,58.98,MANUAL_REVIEW,50.49,3.01
39,1145965,686,Salaried,6400209,0,Home,300,1.4,6.6,0,Family-Owned,3,Tier-3,Graduate,Married,172,43.72,MANUAL_REVIEW,63.28,5.58
45,606027,687,Salaried,1579145,15556,Business,60,1.4,22.4,3,Family-Owned,0,Tier-1,Post-Graduate,Single,69,47.7,MANUAL_REVIEW,98.01,2.61
37,1050207,790,Salaried,3555654,23110,Education,60,2.7,4.2,1,Owned,2,Tier-2,Graduate,Single,9,64.74,MANUAL_REVIEW,113.73,3.39
32,1040108,710,Salaried,8826627,16229,Home,300,3.5,7.3,2,Company-Provided,2,Tier-1,Post-Graduate,Married,170,55.16,MANUAL_REVIEW,114.87,8.49
33,943475,467,Self-Employed,8156011,0,Home,300,4.4,4.4,0,Owned,2,Tier-1,Professional,Married,74,29.38,REJECTED,97.95,8.64
34,642274,744,Salaried,412634,9941,Medical,36,6.1,6.1,2,Rented,4,Tier-1,High-School,Married,235,73.62,APPROVED,43.63,0.64
34,742611,565,Salaried,1796683,0,Business,120,0.6,0.6,0,Owned,2,Tier-2,Professional,Married,36,40.52,REJECTED,39.18,2.42
42,2085580,828,Salaried,5833875,0,Personal,48,3.5,3.5,0,Rented,0,Tier-2,Post-Graduate,Divorced,45,66.9,MANUAL_REVIEW,85.94,2.8
35,1681385,680,Salaried,1299975,0,Medical,48,1.4,1.4,0,Owned,2,Tier-1,Post-Graduate,Divorced,178,68.78,MANUAL_REVIEW,23.75,0.77
42,391450,658,Freelancer,3010497,3979,Home,240,6.2,17.7,1,Rented,2,Tier-3,Post-Graduate,Married,219,41.8,MANUAL_REVIEW,104.34,7.69
34,539384,659,Government,1386461,11725,Personal,36,5.3,12.5,1,Owned,0,Tier-1,Graduate,Single,46,57.7,MANUAL_REVIEW,126.34,2.57
35,785215,758,Self-Employed,1926932,15379,Education,120,1.0,1.0,1,Rented,0,Tier-2,Graduate,Single,205,63.7,MANUAL_REVIEW,63.24,2.45
21,1134953,704,Salaried,3098559,17669,Education,120,0.0,0.0,4,Owned,3,Tier-2,Graduate,Single,165,56.0,MANUAL_REVIEW,62.89,2.73
44,686371,715,Salaried,2363689,0,Business,120,4.7,12.7,0,Owned,2,Tier-1,Professional,Single,85,60.44,MANUAL_REVIEW,55.76,3.44
38,603399,850,Freelancer,4283469,19667,Business,180,0.7,8.6,2,Owned,0,Tier-3,Graduate,Divorced,147,45.82,MANUAL_REVIEW,133.28,7.1
44,1049605,759,Salaried,5366218,30223,Home,300,1.9,15.0,1,Rented,3,Tier-2,High-School,Married,181,59.7,MANUAL_REVIEW,92.48,5.11
21,598100,557,Salaried,2706210,12833,Home,240,0.0,0.0,1,Rented,2,Tier-3,Post-Graduate,Married,178,27.9,REJECTED,79.96,4.52
55,1657732,750,Salaried,4428017,0,Education,84,2.6,27.1,0,Rented,0,Tier-2,High-School,Widowed,105,73.9,APPROVED,54.04,2.67
33,698359,690,Salaried,2269804,14928,Business,180,1.8,1.8,1,Company-Provided,1,Tier-1,Professional,Single,75,41.86,MANUAL_REVIEW,68.76,3.25
46,1079114,684,Self-Employed,8424471,14215,Home,240,0.9,0.9,1,Owned,4,Tier-1,Graduate,Married,133,37.38,REJECTED,109.34,7.81
24,604281,740,Salaried,1197529,14842,Personal,12,0.8,2.7,2,Rented,3,Tier-3,Professional,Married,148,52.74,MANUAL_REVIEW,239.1,1.98
41,1483605,733,Self-Employed,1197159,47733,Medical,36,0.7,9.4,4,Owned,1,Metro,High-School,Married,16,57.78,MANUAL_REVIEW,70.08,0.81
24,693942,517,Salaried,2408481,0,Home,240,2.2,2.9,0,Rented,0,Tier-3,Graduate,Single,95,45.08,MANUAL_REVIEW,41.58,3.47
28,1192514,552,Government,944154,0,Medical,36,3.7,3.7,0,Owned,1,Tier-1,Graduate,Married,90,59.44,MANUAL_REVIEW,30.88,0.79
54,1450746,586,Government,5739691,44669,Home,300,5.1,16.8,1,Rented,0,Tier-2,Post-Graduate,Married,22,47.4,MANUAL_REVIEW,81.77,3.96
33,1055493,732,Salaried,1643387,11032,Personal,48,7.0,7.5,1,Family-Owned,1,Tier-1,Graduate,Married,160,63.4,MANUAL_REVIEW,60.38,1.56
37,457045,718,Freelancer,3027772,4415,Business,180,2.7,2.7,1,Rented,3,Tier-1,Graduate,Married,164,39.14,REJECTED,99.47,6.62
43,1236031,757,Salaried,1681525,40003,Education,84,2.6,5.6,4,Family-Owned,0,Metro,Graduate,Married,211,71.72,APPROVED,66.36,1.36
39,1171193,635,Salaried,4563697,15613,Home,240,2.2,16.3,2,Rented,0,Tier-3,High-School,Married,121,46.5,MANUAL_REVIEW,62.68,3.9
36,525900,759,Self-Employed,538552,11619,Medical,48,3.2,3.2,4,Family-Owned,0,Metro,High-School,Divorced,166,69.94,MANUAL_REVIEW,57.98,1.02
38,422806,595,Self-Employed,2906086,4313,Home,300,4.0,4.0,1,Company-Provided,1,Tier-1,Post-Graduate,Single,7,27.7,REJECTED,90.12,6.87
59,556560,553,Government,1392543,16371,Personal,36,7.3,19.4,1,Rented,0,Tier-1,Post-Graduate,Single,28,42.7,MANUAL_REVIEW,132.88,2.5
34,583905,646,Self-Employed,2206773,6586,Education,60,2.9,8.3,1,Family-Owned,2,Tier-3,Post-Graduate,Single,195,39.76,REJECTED,111.01,3.78
37,1572187,685,Salaried,2775515,38404,Personal,24,0.0,0.0,1,Rented,1,Tier-1,High-School,Single,235,44.8,MANUAL_REVIEW,127.56,1.77
45,700382,707,Government,786005,6828,Personal,36,11.0,11.0,2,Rented,1,Metro,High-School,Married,187,70.0,MANUAL_REVIEW,55.47,1.12
46,991298,700,Salaried,1336649,12143,Personal,12,3.0,10.0,3,Owned,0,Tier-1,High-School,Married,42,62.1,MANUAL_REVIEW,157.33,1.35
46,1321287,634,Salaried,6620616,27927,Home,300,5.4,21.6,1,Company-Provided,2,Metro,Graduate,Divorced,223,43.9,MANUAL_REVIEW,82.14,5.01
41,1123901,700,Salaried,2866852,0,Personal,24,3.0,16.8,0,Family-Owned,1,Metro,Graduate,Married,135,62.1,MANUAL_REVIEW,141.96,2.55
23,590347,699,Salaried,4608545,5593,Home,360,1.8,1.8,1,Family-Owned,0,Tier-1,High-School,Single,169,40.26,REJECTED,97.06,7.81
51,1063332,697,Salaried,4745690,14061,Home,300,7.1,25.3,2,Owned,1,Tier-1,Graduate,Married,224,56.1,MANUAL_REVIEW,66.44,4.46
23,872746,593,Self-Employed,2322696,10243,Personal,24,1.6,1.6,1,Owned,5,Metro,Graduate,Married,18,28.72,REJECTED,162.19,2.66
38,895180,634,Freelancer,2420770,8367,Personal,48,9.5,14.6,1,Rented,2,Metro,Post-Graduate,Married,137,39.82,REJECTED,94.3,2.7
27,749437,751,Self-Employed,6877636,0,Home,180,1.0,1.0,0,Family-Owned,3,Tier-1,Post-Graduate,Married,221,54.1,MANUAL_REVIEW,121.73,9.18
34,3151767,546,Salaried,4656763,102773,Personal,36,4.4,4.4,3,Family-Owned,3,Tier-3,Post-Graduate,Single,120,38.38,REJECTED,96.76,1.48
38,1386912,701,Salaried,1637712,27166,Personal,48,5.9,11.6,2,Owned,2,Tier-2,High-School,Single,221,66.92,MANUAL_REVIEW,59.78,1.18
38,4914784,718,Salaried,7328339,0,Education,84,5.4,15.7,0,Rented,2,Metro,Graduate,Married,144,83.4,APPROVED,30.17,1.49
39,996517,552,Government,1734123,29702,Personal,12,12.0,12.0,1,Rented,4,Tier-2,High-School,Single,45,43.4,MANUAL_REVIEW,219.84,1.74
51,1171444,636,Salaried,1758710,20252,Vehicle,36,0.6,6.2,1,Rented,3,Metro,Graduate,Married,22,40.94,REJECTED,79.3,1.5
39,387022,666,Salaried,1053954,3637,Personal,24,2.4,17.0,1,Owned,2,Tier-1,Graduate,Single,44,50.4,MANUAL_REVIEW,162.83,2.72
32,647571,764,Salaried,2367337,16658,Business,120,2.1,8.4,1,Owned,3,Tier-2,Graduate,Married,220,60.18,MANUAL_REVIEW,90.06,3.66
44,1965951,748,Salaried,10000000,18287,Home,240,1.3,16.5,2,Owned,2,Tier-1,Graduate,Single,172,54.1,MANUAL_REVIEW,72.1,5.09
46,866560,609,Salaried,5535686,0,Business,60,7.5,19.1,0,Rented,1,Tier-1,Graduate,Married,105,35.2,REJECTED,164.77,6.39
22,2330326,725,Salaried,3414442,51623,Personal,24,0.7,0.7,1,Company-Provided,0,Tier-3,Post-Graduate,Single,233,54.04,MANUAL_REVIEW,108.12,1.47
40,411652,768,Salaried,601420,0,Personal,12,0.4,0.4,0,Rented,2,Metro,Graduate,Married,112,59.58,MANUAL_REVIEW,154.54,1.46
42,469084,799,Salaried,720896,0,Medical,12,3.0,5.3,0,Rented,4,Metro,High-School,Married,74,69.16,MANUAL_REVIEW,162.56,1.54
32,857679,701,Salaried,6932579,10130,Home,180,5.2,10.5,1,Company-Provided,5,Tier-3,Post-Graduate,Single,126,55.6,MANUAL_REVIEW,121.39,8.08
48,624116,590,Salaried,2426148,0,Education,60,6.3,7.8,0,Rented,0,Tier-3,Graduate,Divorced,35,38.46,REJECTED,100.26,3.89
33,1847872,828,Salaried,10000000,0,Home,300,5.0,9.3,0,Rented,2,Tier-1,High-School,Single,76,65.26,MANUAL_REVIEW,61.31,5.41
36,1319212,773,Government,8661642,33117,Business,60,6.4,6.4,1,Rented,2,Tier-1,Graduate,Married,67,60.68,MANUAL_REVIEW,199.47,6.57
33,700009,632,Self-Employed,4119307,21455,Business,180,4.3,10.9,4,Owned,1,Metro,Post-Graduate,Single,69,37.38,REJECTED,114.84,5.88
35,591060,661,Self-Employed,905363,19048,Education,60,7.8,7.8,2,Family-Owned,2,Tier-3,Graduate,Married,51,56.36,MANUAL_REVIEW,78.18,1.53
24,620400,683,Salaried,2150229,0,Education,60,1.8,1.9,0,Company-Provided,2,Tier-1,Graduate,Single,60,46.78,MANUAL_REVIEW,89.39,3.47
21,505614,784,Government,1448167,10884,Personal,24,0.0,0.0,1,Family-Owned,4,Tier-2,High-School,Married,194,58.5,MANUAL_REVIEW,185.23,2.86
50,552309,745,Salaried,3167505,11958,Home,300,1.7,1.7,1,Owned,1,Metro,Post-Graduate,Single,7,50.44,MANUAL_REVIEW,90.96,5.74
26,1844806,504,Salaried,9584936,0,Home,180,2.4,3.8,0,Owned,0,Tier-2,Graduate,Married,109,31.56,REJECTED,68.92,5.2
25,300000,683,Salaried,798884,0,Education,84,0.3,0.3,0,Rented,2,Tier-2,Post-Graduate,Single,128,50.36,MANUAL_REVIEW,53.88,2.66
21,3464926,683,Government,10000000,0,Personal,60,0.0,0.0,0,Owned,1,Metro,Graduate,Married,123,46.4,MANUAL_REVIEW,74.44,2.89
28,635306,764,Salaried,639592,5902,Personal,36,1.8,3.9,1,Owned,0,Tier-3,Graduate,Single,197,66.28,MANUAL_REVIEW,50.41,1.01
21,656166,726,Self-Employed,5224501,18097,Home,300,0.0,0.0,2,Rented,3,Metro,Graduate,Single,163,44.3,MANUAL_REVIEW,123.31,7.96
51,1138082,681,Self-Employed,2971308,36690,Personal,48,6.2,6.2,1,Rented,1,Tier-3,Graduate,Married,47,49.64,MANUAL_REVIEW,118.9,2.61
45,2205007,724,Salaried,3757880,42532,Medical,48,1.3,13.0,4,Rented,5,Tier-2,Graduate,Married,98,59.7,MANUAL_REVIEW,75.51,1.7
28,1526118,776,Salaried,10000000,0,Home,300,4.3,4.3,0,Company-Provided,1,Tier-3,Graduate,Married,179,61.16,MANUAL_REVIEW,74.24,6.55
57,1608668,770,Government,4557649,45325,Personal,24,2.7,2.7,4,Rented,2,Tier-2,Post-Graduate,Single,84,66.24,MANUAL_REVIEW,191.48,2.83
44,2686683,773,Government,3177002,75951,Personal,36,11.8,17.0,1,Owned,0,Tier-1,Professional,Divorced,126,77.1,APPROVED,80.04,1.18
31,300000,643,Freelancer,282963,0,Medical,24,3.9,3.9,0,Company-Provided,2,Tier-1,Graduate,Married,144,45.48,MANUAL_REVIEW,52.49,0.94
21,373333,610,Salaried,576653,10444,Personal,24,0.0,0.0,3,Rented,1,Tier-2,High-School,Married,76,35.4,REJECTED,119.53,1.54
57,746497,809,Salaried,685450,20379,Personal,24,6.9,13.9,1,Rented,2,Metro,Professional,Single,152,73.28,APPROVED,83.86,0.92
21,1672940,674,Self-Employed,7019678,22937,Business,180,0.0,0.0,1,Rented,0,Metro,Graduate,Married,99,33.4,REJECTED,72.11,4.2
21,828678,774,Self-Employed,3417980,0,Home,300,0.0,0.0,0,Rented,2,Metro,High-School,Married,62,65.5,MANUAL_REVIEW,46.73,4.12
45,1652277,551,Self-Employed,4001343,0,Personal,12,4.5,11.0,0,Rented,2,Tier-2,Professional,Single,69,35.4,REJECTED,256.16,2.42
59,2165763,783,Government,3836434,58733,Personal,12,5.2,5.2,4,Company-Provided,1,Tier-2,Graduate,Married,171,73.74,APPROVED,219.92,1.77
48,386527,551,Salaried,1226251,4616,Education,84,0.5,6.8,1,Family-Owned,0,Metro,Post-Graduate,Married,12,30.26,REJECTED,78.52,3.17
40,427240,746,Salaried,2159942,11170,Home,360,1.4,13.8,4,Owned,0,Tier-1,High-School,Single,169,52.66,MANUAL_REVIEW,86.87,5.06
40,1886519,773,Salaried,7401614,15887,Home,360,6.2,14.9,1,Owned,3,Tier-1,Post-Graduate,Married,19,76.68,APPROVED,53.17,3.92
43,670569,575,Freelancer,2631261,0,Home,360,0.9,0.9,0,Owned,2,Metro,Professional,Married,93,38.08,REJECTED,43.07,3.92
42,951258,802,Salaried,3155450,0,Business,120,1.3,1.3,0,Rented,2,Tier-2,Professional,Married,202,59.56,MANUAL_REVIEW,53.71,3.32
37,423264,748,Freelancer,322231,13249,Medical,36,9.3,14.7,1,Owned,0,Metro,High-School,Single,80,61.74,MANUAL_REVIEW,67.26,0.76
36,903250,639,Salaried,4104214,0,Home,300,5.0,5.0,0,Owned,3,Metro,Post-Graduate,Single,117,48.9,MANUAL_REVIEW,51.48,4.54
34,1322845,782,Self-Employed,9330343,38386,Home,180,2.5,2.5,2,Family-Owned,2,Metro,Post-Graduate,Married,172,57.2,MANUAL_REVIEW,128.38,7.05
27,628388,450,Salaried,753178,0,Vehicle,48,0.7,0.7,0,Owned,0,Metro,Post-Graduate,Single,32,47.04,MANUAL_REVIEW,36.83,1.2
32,546021,776,Freelancer,884656,13872,Personal,24,2.3,5.2,2,Owned,1,Metro,Graduate,Single,159,60.74,MANUAL_REVIEW,120.65,1.62
21,606275,638,Salaried,408524,6484,Medical,48,0.0,0.0,2,Family-Owned,0,Tier-3,Graduate,Married,213,53.9,MANUAL_REVIEW,33.54,0.67
34,347562,567,Salaried,3213371,0,Home,300,5.8,6.8,0,Rented,3,Tier-2,Graduate,Single,206,31.56,REJECTED,104.75,9.25
25,666970,434,Self-Employed,1984465,19314,Business,120,0.1,0.1,2,Family-Owned,2,Metro,Post-Graduate,Married,205,24.22,REJECTED,82.93,2.98
23,550584,631,Salaried,2246655,16634,Business,120,1.0,1.0,3,Rented,1,Tier-1,Post-Graduate,Married,164,29.7,REJECTED,102.33,4.08
36,800520,534,Salaried,4528025,20439,Home,240,4.7,4.7,1,Family-Owned,2,Metro,Graduate,Married,147,33.34,REJECTED,98.4,5.66
48,1305496,781,Freelancer,10000000,42729,Home,180,6.3,18.4,1,Rented,2,Tier-2,Graduate,Single,65,57.8,MANUAL_REVIEW,140.88,7.66
44,2879984,736,Salaried,10000000,30687,Home,180,5.4,12.0,1,Owned,2,Tier-3,High-School,Single,141,69.3,MANUAL_REVIEW,58.84,3.47
21,330305,509,Salaried,1876361,8604,Home,360,0.0,0.0,2,Rented,3,Tier-1,High-School,Single,43,23.4,REJECTED,93.61,5.68
25,3307584,744,Government,6508600,0,Vehicle,48,2.1,2.4,0,Rented,2,Tier-1,Post-Graduate,Married,176,65.28,MANUAL_REVIEW,60.46,1.97
44,540095,627,Self-Employed,1550959,11586,Education,120,9.6,14.5,1,Rented,0,Tier-1,Post-Graduate,Married,98,48.3,MANUAL_REVIEW,72.24,2.87
25,1453303,797,Salaried,3866086,0,Business,60,2.1,2.1,0,Company-Provided,0,Tier-1,Professional,Married,37,63.22,MANUAL_REVIEW,68.61,2.66
32,682628,597,Salaried,2656567,8173,Business,180,3.4,3.4,1,Owned,3,Metro,Post-Graduate,Married,89,32.18,REJECTED,65.99,3.89
40,617676,674,Government,2433706,0,Education,60,2.4,12.0,0,Rented,0,Tier-2,Post-Graduate,Married,178,54.3,MANUAL_REVIEW,101.63,3.94
25,630791,681,Salaried,1207967,15639,Personal,24,1.3,1.3,1,Family-Owned,2,Tier-3,Graduate,Married,219,47.26,MANUAL_REVIEW,136.32,1.92
36,975411,697,Government,5822571,27625,Home,360,10.7,10.8,1,Family-Owned,1,Tier-2,Post-Graduate,Married,91,54.46,MANUAL_REVIEW,99.51,5.97
21,1239606,651,Government,2007883,0,Education,84,0.0,0.0,0,Rented,4,Tier-3,Post-Graduate,Divorced,192,64.6,MANUAL_REVIEW,32.77,1.62
28,1516542,796,Salaried,3364255,0,Vehicle,48,2.6,2.6,0,Owned,1,Metro,Graduate,Single,134,67.42,MANUAL_REVIEW,68.16,2.22
38,484374,729,Salaried,1905118,6031,Home,300,7.4,9.9,1,Family-Owned,1,Tier-2,Graduate,Single,166,67.68,MANUAL_REVIEW,59.5,3.93
21,300000,732,Salaried,448270,8451,Education,120,0.0,0.0,3,Company-Provided,3,Tier-3,High-School,Married,110,59.1,MANUAL_REVIEW,58.0,1.49
39,347616,754,Salaried,1583304,3704,Business,84,1.7,12.0,1,Owned,2,Metro,High-School,Single,234,55.4,MANUAL_REVIEW,104.94,4.55
34,925164,524,Government,1680984,0,Personal,24,9.1,9.1,0,Owned,1,Tier-3,Professional,Single,36,44.32,MANUAL_REVIEW,101.12,1.82
40,765175,719,Salaried,2265748,0,Personal,60,0.6,6.0,0,Family-Owned,2,Metro,High-School,Single,108,52.3,MANUAL_REVIEW,76.37,2.96
37,746387,755,Government,581097,17255,Medical,60,13.7,14.3,3,Rented,5,Tier-3,Graduate,Single,212,85.66,APPROVED,47.82,0.78
48,1415712,683,Salaried,9041854,40057,Home,360,0.7,0.8,1,Owned,0,Metro,High-School,Single,139,39.06,REJECTED,104.06,6.39
36,4238277,793,Salaried,10000000,0,Business,84,2.8,2.8,0,Rented,1,Tier-1,Post-Graduate,Single,38,71.26,APPROVED,47.74,2.36
30,587333,739,Salaried,929436,7037,Medical,24,0.6,0.6,2,Rented,1,Metro,High-School,Single,75,54.12,MANUAL_REVIEW,102.44,1.58
36,646711,632,Salaried,3713290,0,Home,240,5.1,10.1,0,Company-Provided,1,Metro,High-School,Married,208,42.32,MANUAL_REVIEW,68.79,5.74
40,1457264,702,Government,3296014,0,Personal,60,5.2,5.2,0,Owned,1,Tier-3,Professional,Married,52,68.04,MANUAL_REVIEW,58.34,2.26
35,713587,788,Government,1532464,0,Education,60,2.7,2.8,0,Rented,1,Metro,Post-Graduate,Married,91,74.56,APPROVED,55.39,2.15
35,869550,660,Salaried,6044956,0,Home,300,2.1,6.7,0,Owned,3,Tier-2,Graduate,Married,151,44.04,MANUAL_REVIEW,78.77,6.95
27,552635,527,Self-Employed,1389094,12501,Education,60,3.7,3.7,1,Owned,1,Tier-3,High-School,Single,123,37.54,REJECTED,91.98,2.51
28,3514456,609,Salaried,5925957,66617,Personal,48,4.3,4.3,1,Owned,1,Tier-3,Post-Graduate,Single,207,46.06,MANUAL_REVIEW,74.55,1.69
21,897048,679,Salaried,1213288,21094,Medical,48,0.0,0.0,2,Family-Owned,2,Tier-3,Post-Graduate,Married,196,46.8,MANUAL_REVIEW,69.77,1.35
52,553302,831,Government,943920,10478,Personal,60,12.6,30.8,1,Owned,3,Tier-3,Professional,Single,225,74.6,APPROVED,66.73,1.71
22,672730,706,Salaried,1162764,9825,Medical,36,0.9,0.9,1,Rented,2,Metro,High-School,Married,175,54.68,MANUAL_REVIEW,84.94,1.73
28,573422,709,Salaried,3708126,8417,Home,240,1.7,1.7,1,Rented,1,Tier-3,Post-Graduate,Single,95,47.64,MANUAL_REVIEW,95.09,6.47
27,2290505,705,Salaried,10000000,68602,Home,240,1.3,4.6,1,Rented,5,Metro,Graduate,Married,127,55.62,MANUAL_REVIEW,88.25,4.37
43,594380,775,Self-Employed,677538,0,Vehicle,36,4.3,12.5,0,Family-Owned,2,Metro,Graduate,Divorced,87,78.2,APPROVED,44.46,1.14
32,813466,685,Salaried,615772,9960,Medical,24,0.8,0.8,2,Rented,0,Metro,Post-Graduate,Married,141,52.46,MANUAL_REVIEW,56.82,0.76
47,787356,847,Government,4461766,8984,Home,180,1.3,1.3,4,Owned,2,Tier-2,Post-Graduate,Married,11,59.66,MANUAL_REVIEW,88.86,5.67
28,1005112,713,Salaried,1292257,10815,Personal,60,5.4,5.6,1,Owned,4,Metro,Professional,Married,223,71.42,APPROVED,46.07,1.29
37,719098,800,Salaried,1654453,7325,Education,84,4.6,8.7,1,Rented,2,Metro,High-School,Single,52,74.34,APPROVED,58.77,2.3
26,406938,792,Salaried,543491,0,Personal,24,0.7,2.9,0,Family-Owned,2,Tier-2,Graduate,Divorced,36,59.98,MANUAL_REVIEW,74.33,1.34
56,774684,744,Salaried,1406440,6736,Medical,12,1.7,11.8,3,Owned,0,Tier-1,Post-Graduate,Single,102,60.26,MANUAL_REVIEW,202.47,1.82
23,700866,703,Salaried,3666579,8651,Business,120,1.7,1.9,3,Owned,0,Metro,Graduate,Widowed,226,45.28,MANUAL_REVIEW,99.52,5.23
38,585455,658,Salaried,3795577,7699,Home,360,7.2,12.1,2,Rented,2,Tier-1,Graduate,Married,88,47.92,MANUAL_REVIEW,86.94,6.48
41,1453808,686,Self-Employed,4951213,0,Education,84,9.1,18.6,0,Owned,1,Tier-1,Post-Graduate,Single,160,53.9,MANUAL_REVIEW,68.91,3.41
39,1942572,723,Salaried,7600447,29287,Home,180,1.8,1.8,3,Company-Provided,2,Tier-2,Graduate,Married,64,57.66,MANUAL_REVIEW,69.99,3.91
33,1114560,715,Self-Employed,7522530,0,Business,60,2.2,7.0,0,Owned,1,Tier-1,High-School,Married,87,42.8,MANUAL_REVIEW,174.08,6.75
33,1219580,635,Salaried,2335420,13945,Personal,60,6.8,7.7,1,Rented,2,Tier-3,Post-Graduate,Married,9,46.44,MANUAL_REVIEW,63.11,1.91
35,300000,723,Salaried,296627,3206,Vehicle,48,1.8,1.8,1,Owned,0,Tier-3,Graduate,Married,92,68.36,MANUAL_REVIEW,43.2,0.99
33,907402,762,Self-Employed,5945216,19845,Business,120,4.2,4.2,2,Rented,0,Metro,Professional,Married,141,57.04,MANUAL_REVIEW,132.33,6.55
44,1639508,567,Salaried,10000000,43119,Home,360,4.9,4.9,2,Rented,1,Metro,Post-Graduate,Single,237,31.68,REJECTED,98.51,6.1
57,1100304,702,Self-Employed,5968217,26504,Business,120,1.0,35.4,2,Family-Owned,2,Tier-3,Post-Graduate,Widowed,157,44.1,MANUAL_REVIEW,116.73,5.42
29,759236,747,Salaried,2108078,16893,Personal,12,4.3,4.3,3,Rented,3,Tier-1,Professional,Married,138,58.46,MANUAL_REVIEW,320.4,2.78
21,2403075,762,Government,10000000,46493,Home,360,0.0,0.0,1,Owned,1,Tier-2,High-School,Single,181,61.5,MANUAL_REVIEW,68.9,4.16
34,3191584,783,Salaried,10000000,77181,Education,84,4.2,8.6,2,Owned,2,Tier-1,High-School,Married,208,68.82,MANUAL_REVIEW,92.41,3.13
60,1127479,619,Government,1668224,0,Vehicle,48,7.0,25.7,0,Rented,1,Tier-2,Post-Graduate,Married,112,63.6,MANUAL_REVIEW,45.46,1.48
26,1213468,850,Freelancer,3002328,37471,Personal,36,1.7,1.7,1,Rented,1,Metro,Post-Graduate,Married,19,56.94,MANUAL_REVIEW,133.56,2.47
51,300000,798,Self-Employed,1042401,0,Business,120,5.1,29.8,0,Owned,2,Tier-2,High-School,Single,144,69.2,MANUAL_REVIEW,56.26,3.47
